strain,stress_MPa
0.0025085451,291.52600285889383
0.0025085451,292.1856576178789
0.0025392619,292.91601194511156
0.0025392619,293.48145850317366
0.0025495009,294.2353767217885
0.0025699788,294.84791159211017
0.0025495009,295.5782659193428
0.0025802178,296.21438836334954
0.0025802178,296.9447505846831
0.0026109347,297.5573091373077
0.0026109347,298.31122735592254
0.0025904567,298.9237622262442
0.0026211736,299.67768044485905
0.0026211736,300.31377131246194
0.0026416515,301.04416511019934
0.0026723684,301.7038119750835
0.0026621295,302.41061030503494
0.0026723684,303.07029664042386
0.0026928463,303.8006509676565
0.0026928463,304.4367418352594
0.0027235632,305.1906916302781
0.0027440412,305.85034638926317
0.0027440412,306.5807007164958
0.0027542801,307.2403554754809
0.002774758,307.97070980271354
0.002795236,308.65395213538375
0.002795236,309.2900745793905
0.0028157139,310.0204289066231
0.0028361918,310.65655924473083
0.0028566697,311.33976210689616
0.0028669087,312.0230044395664
0.0028771476,312.7062151958327
0.0028873866,313.3423376398394
0.0028976256,314.0491359697908
0.0028976256,314.614582527853
0.0029181035,315.34494474918654
0.0029385814,315.88679583946254
0.0029590593,316.593594169414
0.0029692983,317.22971661342075
0.0029590593,317.93652283747315
0.0029692983,318.52549381641256
0.0029897762,319.20870457267887
0.0030204931,319.77415113074096
0.0030204931,320.5751813439183
0.0030204931,321.1641917933626
0.00305121,321.8709585469101
0.00305121,322.41287278999386
0.0030614489,323.11964743764236
0.0030819268,323.75573830524525
0.0030716879,324.4390043202184
0.0030819268,325.0751346583261
0.0031024048,325.7819014118736
0.0031024048,326.370903967217
0.0031126437,327.07770229716834
0.0031126437,327.7373570561534
0.0031433606,328.4441553861048
0.0031331216,329.12739771877506
0.0031843164,329.76352016278173
0.0031843164,330.4231670276659
0.0031945554,331.0828533630548
0.0031945554,331.76608780162405
0.0032150333,332.3786226719457
0.0032355112,333.03830900733465
0.0032559892,333.7215434459039
0.0032764671,334.4283417758553
0.0032764671,335.01732064889575
0.003296945,335.74767497612834
0.003307184,336.2895339605053
0.0033174229,336.9963322904568
0.0033276619,337.58533484580005
0.0033481398,338.29214106985245
0.0033583788,338.8811120487919
0.0033788567,339.54082206648377
0.0033686177,340.15335693680544
0.0034095736,340.86015526675686
0.0033993346,341.40201425113383
0.0034095736,342.0616926924218
0.0034300515,342.6271392504839
0.0034300515,343.286794009469
0.0034607684,343.92291645347575
0.0034607684,344.58259489476376
0.0034710073,345.10088998775853
0.0034914853,345.80768831770996
0.0034914853,346.39669876715425
0.0035017242,347.1034970971056
0.0035119632,347.69246807604515
0.0035222021,348.352154411434
0.0035324411,348.9411569667774
0.0035324411,349.6008038316615
0.003563158,350.213370278387
0.003563158,350.873056613776
0.0035836359,351.55629105234516
0.0035836359,352.1688259226668
0.0036041138,352.80494836667356
0.0036143528,353.44107081068034
0.0036245917,354.07716167828323
0.0036450697,354.6661958100304
0.0036553086,355.30229457173425
0.0036655476,355.938417015741
0.0036860255,356.64518376928856
0.0036962645,357.18706643596846
0.0037065034,357.87030876863867
0.0037269813,358.4593113239819
0.0037474593,359.11896608296706
0.0037474593,359.7079686383104
0.0037679372,360.3440910823171
0.0037781761,360.93306995535755
0.0037884151,361.56919239936434
0.003819132,362.1346389574264
0.003808893,362.8178418195917
0.003819132,363.31261249170916
0.0038396099,363.99582324797547
0.0038498489,364.51414991737414
0.0038498489,365.1738362527631
0.0038703268,365.73928281082516
0.0038703268,366.3989296757093
0.0038908047,366.94082023649014
0.0038908047,367.60049867777815
0.0039010437,368.2130335480998
0.0039215214,368.82559210072435
0.0039419993,369.3674826615052
0.0039317603,370.02712952638933
0.0039522382,370.5925760844514
0.0039624772,371.2286985284582
0.0039829551,371.8647893960611
0.0039727162,372.43023595412313
0.0039829551,373.0898907131083
0.004013672,373.65533727117037
0.004023911,374.2914597151771
0.0040341499,374.9040182678017
0.0040546278,375.54011702950555
0.0040648668,376.08199969618545
0.0040648668,376.7652420288556
